GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;
5700;Управление Федеральной налоговой службы по Орловской области;УФНС России по Орловской области;"

Колесников Владимир Васильевич";"Сапожникова Елена Валентиновна,
Чижова Жанна Николаевна,
Рубцова Алла Валерьевна,
Михайлова Елена Станиславовна";http://www.nalog.ru/rn57/about_fts/fts/functions_fts/funct_ufns/;302030, г. Орел, пл. Мира, д.7А;7 (4862) 54-32-91;7 (4862) 47-07-18;http://www.nalog.ru/rn57/about_fts/ufns_info/;5751777777;575101001;u57@r57.nalog.ru;
5800;Управление Федеральной налоговой службы по Пензенской области;УФНС России по Пензенской области;"

Калабин Юрий Викторович";"

Попова Валентина Николаевна, 

Кожевникова Людмила Борисовна ";http://www.nalog.ru/rn58/about_fts/fts/functions_fts/funct_ufns/;440008, г. Пенза, ул. Коммунистическая, 32;7 (8412) 47-68-79;7 (8412) 94-44-75;http://www.nalog.ru/rn58/about_fts/ufns_info/;5836010515;583601001;u58@r58.nalog.ru;
5900;Управление Федеральной налоговой службы по Пермскому краю;УФНС России по Пермскому краю;"

Стругова Лидия Родионовна";"

Ширяев Олег Владимирович, Батуева Любовь Сергеевна, 

Макарихин Виталий Викторович, 

Акимов Олег Викторович";http://www.nalog.ru/rn59/about_fts/fts/functions_fts/funct_ufns/;614990, г. Пермь, ул. Окулова, 46;7 (342) 211-47-17;7 (342) 291-00-69;http://www.nalog.ru/rn59/about_fts/ufns_info/;5902290650;590301001;u59@r59.nalog.ru;
6000;Управление Федеральной налоговой службы по Псковской области;УФНС России по Псковской области;Жгут Елена Николаевна;"

Павлов Алексей Анатольевич, 

Столярова Нина Николаевна, 

Милянтей Александр Сергеевич";http://www.nalog.ru/rn60/about_fts/fts/functions_fts/funct_ufns/;180017, г.Псков, ул.Спортивная, 5а;7 (8112) 699-200;7 (8112) 699-287;http://www.nalog.ru/rn60/about_fts/ufns_info/;6027086207;602701001;u60@r60.nalog.ru;
6100;Управление Федеральной налоговой службы по Ростовской области;УФНС России по Ростовской области;"

Шелепов Владимир Германович";"

Ласточкина Валентина Михайловна, 

Александрова Ирина Юрьевна, 

Молчанов Евгений Григорьевич";http://www.nalog.ru/rn61/about_fts/fts/functions_fts/funct_ufns/;344002, г. Ростов-на-Дону, ул. Социалистическая, 96-98;7 (863) 249-86-64;7 (863) 249-86-76;http://www.nalog.ru/rn61/about_fts/ufns_info/;6163041269;616301001;u61@r61.nalog.ru;
6200;Управление Федеральной налоговой службы по Рязанской области;УФНС России по Рязанской области;"

Морозов Вячеслав Анатольевич";"Лащёнов Алексей Васильевич
Рубан Павел Дмитриевич
Грачев Алексей Васильевич
Орловцева Юлия Владимировна ";http://www.nalog.ru/rn62/about_fts/fts/functions_fts/funct_ufns/;390013, г. Рязань, проезд Завражнова, 5;7(4912)24-28-44;7(4912)96-29-84;http://www.nalog.ru/rn62/about_fts/ufns_info/;6234010781;623401001; u62@r62.nalog.ru;
6300;Управление Федеральной налоговой службы по Самарской области;УФНС России по Самарской области;"

Шелудяков Константин Геннадьевич";"

Вихров Александр Владимирович, 

Литонин Александр Владимирович, 

Крикова Ольга Александровна,

Рушковский Глеб Александрович, 

Недокнев Алексей Геннадьевич";http://www.nalog.ru/rn63/about_fts/fts/functions_fts/funct_ufns/;443110, г. Самара, ул. Циолковского, д. 9;7(846)279-41-31;7(846)242-04-70 ;http://www.nalog.ru/rn63/about_fts/ufns_info/;6315801005;631601001;u63@r63.nalog.ru;
6400;Управление Федеральной налоговой службы по Саратовской области;УФНС России по Саратовской области;Козельский Виктор Николаевич;"Антонова Ирина Анатольевна,
Васильева Светлана Валерьевна,
Бурутин Вячеслав Владимирович,
Галкина Людмила Олеговна";http://www.nalog.ru/rn64/about_fts/fts/functions_fts/funct_ufns/;410028, г. Саратов, Рабочая ул., д. 24;7 (845) 2211212;7 (845) 2516085;http://www.nalog.ru/rn64/about_fts/ufns_info/;6454071860;645401001;u64@r64.nalog.ru;
6500;Управление Федеральной налоговой службы по Сахалинской области;УФНС России по Сахалинской области;Тучкова Марина Викторовна;Насыйрова Анастасия Александровна, Макарова Галина Александровна, Фокина Елена Альбертовна;http://www.nalog.ru/rn65/about_fts/fts/functions_fts/funct_ufns/;693000, Сахалинская область, г. Южно-Сахалинск, ул. Карла Маркса, 14;7 (4242) 74-02-09;7 (4242) 74-02-86;http://www.nalog.ru/rn65/about_fts/ufns_info/;6501154700;650101001;u65@r65.nalog.ru;
6600;Управление Федеральной налоговой службы по Свердловской области;УФНС России по Свердловской области;"

Логинов Сергей Геннадьевич";"Рябова Марина Анатольевна,
Протасов Константин Михайлович,
Кочнев Сергей Михайлович,
Голендухина Ольга Юрьевна,
Зырянов Геннадий Евгеньевич";http://www.nalog.ru/rn66/about_fts/fts/functions_fts/funct_ufns/;620075 г. Екатеринбург ул. Пушкина 11;7 (343) 356-06-09;7 (343) 356-06-23;http://www.nalog.ru/rn66/about_fts/ufns_info/;6671159287;667101001;head@tax.e-burg.ru;
6700;Управление Федеральной налоговой службы по Смоленской области;УФНС России по Смоленской области;Рыбалко Татьяна Анатольевна;"Даровских Ирина Викторовна,
Васильев Сергей Михайлович";http://www.nalog.ru/rn67/about_fts/fts/functions_fts/funct_ufns/;214040, г. Смоленск, пр-т. Гагарина, д. 23-в;7(4812) 38-63-17;7(4812) 20-61-04;http://www.nalog.ru/rn67/about_fts/ufns_info/;6730054955;673101001;u67@r67.nalog.ru;
6800;Управление Федеральной налоговой службы по  Тамбовской области;УФНС России по Тамбовской области;"

Кругова Любовь Ивановна";"

Бабаева Светлана Валентиновна, 

Хорохорин Михаил Сергеевич, 

Хрущевская Яна Александровна, 

Рожков Михаил Юрьевич";http://www.nalog.ru/rn68/about_fts/fts/functions_fts/funct_ufns/;392036, г. Тамбов, ул. Интернациональная, д. 55;7 (4752) 47-34-96;7 (4752) 47-18-92;http://www.nalog.ru/rn68/about_fts/ufns_info/;6829009937;682901001;u68@r68.nalog.ru;
6900;Управление Федеральной налоговой службы по Тверской области;УФНС России по Тверской области;"

Яковицкий Дмитрий Анатольевич";"

Фокеева Ирина Егоровна, 

Алексеев Александр Николаевич, 

Фролов Николай Николаевич, 

Стрельцова Татьяна Сергеевна";http://www.nalog.ru/rn69/about_fts/fts/functions_fts/funct_ufns/;170100, г. Тверь, ул. Вагжанова, д. 23;7(4822) 50-67-19;7(4822) 50-67-08;http://www.nalog.ru/rn69/about_fts/ufns_info/;6905006017;690101001;u69@r69.nalog.ru;
7000;Управление Федеральной налоговой службы по Томской области;УФНС России по Томской области;"

Морозов Геннадий Геннадьевич";"

Дубинкина Татьяна Дмитриевна, 

Федяева Любовь Викторовна, 

Самоделова Лариса Юрьевна, Жалонкина Ирина Юрьевна ";http://www.nalog.ru/rn70/about_fts/fts/functions_fts/funct_ufns/;634061, г.Томск, пр.Фрунзе, 55;7 (3822) 28-00-28;7 (3822) 28-00-50;http://www.nalog.ru/rn70/about_fts/ufns_info/;7021016597;701701001;u70@r70.nalog.ru;
7100;Управление Федеральной налоговой службы по Тульской области;УФНС России по Тульской области;"

Алёхин Сергей Николаевич";"Кожевникова Галина Васильевна,
Почуев Алексей Викторович,
Суханов Вадим Артемьевич,
Чуйкина Ирина Васильевна";http://www.nalog.ru/rn71/about_fts/fts/functions_fts/funct_ufns/;300041, г.Тула, ул. Тургеневская, д. 66;7(4872)31-27-06;7(4872)31-16-30;http://www.nalog.ru/rn71/about_fts/ufns_info/;7107086130;710701001; u71@r71.nalog.ru;
7200;Управление Федеральной налоговой службы по Тюменской области;УФНС России по Тюменской области;Зыкова Тамара Александровна;Чалилова Татьяна Михайловна, Перевалова Ольга Вениаминовна, Иванова Ольга Валерьевна, Важенина Наталья Олеговна, Казанцев Владимир Павлович ;http://www.nalog.ru/rn72/about_fts/fts/functions_fts/funct_ufns/;625009, г. Тюмень, ул. Товарное шоссе, 15;7 (3452) 49-20-05;7 (3452) 45-61-90;http://www.nalog.ru/rn72/about_fts/ufns_info/;7204087130;720301001;u72@r72.nalog.ru;
7300;Управление Федеральной налоговой службы по Ульяновской области;УФНС России по Ульяновской области;"

Крюков Владимир Анатольевич";"Богоявленская Людмила Евгеньевна,
Прудникова Ирина Анатольевна,
Глушко Александр Павлович";http://www.nalog.ru/rn73/about_fts/fts/functions_fts/funct_ufns/;432017, г.Ульяновск, ул.Кузнецова, 16-А;7(8422)41-01-72;7(8422)42-80-07;http://www.nalog.ru/rn73/about_fts/ufns_info/;7325051113;732501001;u73@r73.nalog.ru;
7400;Управление Федеральной налоговой службы по Челябинской области;УФНС России по Челябинской области;"

Путин Александр Валентинович";"Бирюк Михаил Михайлович,
Шеповалов Олег Николаевич,
Загер Алексей Владимирович,
Екимова Марина Владимировна,
Тугушева Наталья Михайловна,
Раинчик Сергей Николаевич";http://www.nalog.ru/rn74/about_fts/fts/functions_fts/funct_ufns/;проспект Ленина, 79б, Челябинск, Россия;7 (351) 728-27-00;7 (351) 265-55-06;http://www.nalog.ru/rn74/about_fts/ufns_info/;7453140506;745301001;u74@r74.nalog.ru;
7500;Управление Федеральной налоговой службы по Забайкальскому краю;УФНС России по Забайкальскому краю;"

Войлошникова Ирина Анатольевна";"

Павлова Вера Александровна, Лебедева Татьяна Владимировна, 

Носкова Евгения Леонидовна";http://www.nalog.ru/rn75/about_fts/fts/functions_fts/funct_ufns/;672000, Забайкальский край, г. Чита, ул. Анохина, 63;7 (3022) 23-05-05;7 (3022) 23-05-05;http://www.nalog.ru/rn75/about_fts/ufns_info/;7536057354;753601001;u75@r75.nalog.ru;
7600;Управление Федеральной налоговой службы по Ярославской области;УФНС России по Ярославской области;"

Крицков Лев Юрьевич";"Савиных Ольга Петровна, Краснокутская Наталья Борисовна, 

Рачкова Татьяна Николаевна, Камбулова Людмила Юрьевна";http://www.nalog.ru/rn76/about_fts/fts/functions_fts/funct_ufns/;150003, г.Ярославль, ул. Кооперативная, д. 11;7 (4852) 59-68-42;7 (4852) 59-68-20;http://www.nalog.ru/rn76/about_fts/ufns_info/;7604013647;760401001;u76@r76.nalog.ru;
7700;Управление Федеральной налоговой службы по г. Москве;УФНС России по г. Москве;Третьякова Марина Викторовна ;"Платова Ирина Анатольевна,
Спицына Ольга Михайловна,
Носенков Владимир Алексеевич,
Шилова Юлия Юрьевна,
Громова Светлана Семеновна,
Шульга Иван Владимирович";http://www.nalog.ru/rn77/about_fts/fts/functions_fts/funct_ufns/;125284, г. Москва, Хорошевское шоссе, д. 12А;7 (495) 400-67-90;7 (495) 400-67-89;http://www.nalog.ru/rn77/about_fts/ufns_info/;7710474590;771401001;u77@r77.nalog.ru;
7800;Управление Федеральной налоговой службы по Ленинградской области;УФНС России по Ленинградской области;"

Оборин Андрей Георгиевич";"

Коваленко Маргарита Вальдасовна, 

Кобякова Елена Анатольевна, 

Юлов Андрей Алексеевич, 

Анисимов Александр Юрьевич";http://www.nalog.ru/rn78/about_fts/fts/functions_fts/funct_ufns/;195027 Санкт-Петербург, пр. Металлистов д. 34;7(812) 292-60-42 ;7(812) 292-87-47;http://www.nalog.ru/rn47/about_fts/ufns_info/;7841015181;784001001;u78@r78.nalog.ru;
7800;Управление Федеральной налоговой службы по Санкт-Петербургу;УФНС России по Санкт-Петербургу;"

Корязина Валентина Анатольевна";"

Алмаева Марина Николаевна, 

Васильев Владимир Иванович, 

Кашкина Светлана Васильевна, 

Кононова Елена Владимировна, 

Морозова Ольга Владимировна,

Семчуков Александр Сергеевич, 

Курочкина Наталия Васильевна";http://www.nalog.ru/rn78/about_fts/fts/functions_fts/funct_ufns/;191180, г. Санкт-Петербург, наб. реки Фонтанки, д. 76;7 (812) 740-40-40;7 (812) 315-26-60;http://www.nalog.ru/rn78/about_fts/ufns_info/;7841015181;784001001;u78@r78.nalog.ru;
7900;Управление Федеральной налоговой службы по Еврейской автономной области;УФНС России по Еврейской АО;Стругачев Александр Михайлович;Дубоделова Ольга Александровна, Бирюкова Светлана Ивановна, Годяйкина Светлана Александровна;"

http://www.nalog.ru/rn79/about_fts/fts/functions_fts/funct_ufns/";679016, г.Биробиджан 60-летия СССР просп, д.24;7 (42622) 92209;7 (42622) 40067;http://www.nalog.ru/rn79/about_fts/ufns_info/;7901004500;790101001;u79@r79.nalog.ru;
8600;Управление Федеральной налоговой службы по Ханты-Мансийскому автономному округу - Югре;УФНС России по Ханты-Мансийскому АО - Югре;"

Литова Ольга Анатольевна";"

Ульянов Андрей Леонидович, 

Балута Валентин Валентинович, 

Никулина Наталья Анатольевна, 

Гуляева Светлана Владимировна";http://www.nalog.ru/rn86/about_fts/fts/functions_fts/funct_ufns/;" © ЯндексОшибка на карте? · Условия использования
628012, Ханты-Мансийский автономный округ - Югра, г. Ханты-Мансийск, Дзержинского ул., д. 2";7 (3467) 39-48-00;7 (3467) 33-48-07;http://www.nalog.ru/rn86/about_fts/ufns_info/;8601024258;860101001;u86@r86.nalog.ru;
8700;Управление Федеральной налоговой службы по Чукотскому автономному округу;УФНС России по Чукотскому АО;"

Митропольский Петр Борисович";"

Андросова Наталия Викторовна, 

Першин Николай Валерьевич, 

Масликова Елена Анатольевна";http://www.nalog.ru/rn87/about_fts/fts/functions_fts/funct_ufns/;689000, Чукотский автономный округ, г. Анадырь, ул.Энергетиков,14;7 (42722) 2-94-04;7 (42722) 2-94-49;http://www.nalog.ru/rn87/about_fts/ufns_info/;8709010300;870901001;u8700@r87.nalog.ru;
8900;Управление Федеральной налоговой службы по Ямало-Ненецкому автономному округу;УФНС России по Ямало-Ненецкому АО;Горгоц Елена Николаевна;Борисик Константин Семенович, Харченко Павел Иванович, Слабенко Александр Владимирович, Камалов Жандарбек Серикпаевич;http://www.nalog.ru/rn89/about_fts/fts/functions_fts/funct_ufns/;ул. В. Подшибякина, д. 51, г. Салехард, 629001;7 (34922) 3-78-99;7 (34922) 3-77-42;http://www.nalog.ru/rn89/about_fts/ufns_info/;8901016000;890101001;u89@r89.nalog.ru;
